recordingId,recordingTitle,songId,albumId,discNumber,trackNumber,versionType,artistsJson,notes
4bea9dc0-11d3-4dc1-936b-73361da356eb,"Tim McGraw","SONG_TIM_MCGRAW","ALBUM_TS",1,1,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
180f3bb7-b251-4e79-9118-8ef0e1397b47,"Picture to Burn","SONG_PICTURE_TO_BURN","ALBUM_TS",1,2,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
30629690-fadb-41bf-b59e-7685e61018fc,"Teardrops on My Guitar","SONG_TEARDROPS_ON_MY_GUITAR","ALBUM_TS",1,3,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
9a4c6749-6ac1-4412-a425-b3c46a27ade8,"A Place in This World","SONG_A_PLACE_IN_THIS_WORLD","ALBUM_TS",1,4,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
25aa1b18-5e85-454e-a15b-145d5559d0fe,"Cold as You","SONG_COLD_AS_YOU","ALBUM_TS",1,5,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
91823633-8f8a-41f1-a6b3-32b625bc2799,"The Outside","SONG_THE_OUTSIDE","ALBUM_TS",1,6,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
9dd26e68-cdf4-40a3-9e46-5b606b0c304e,"Tied Together With a Smile","SONG_TIED_TOGETHER_WITH_A_SMILE","ALBUM_TS",1,7,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
c9f876e3-548d-438c-848b-1ec6f47a4f88,"Stay Beautiful","SONG_STAY_BEAUTIFUL","ALBUM_TS",1,8,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
317375d5-149a-43f3-9037-db6caac1e96a,"Should’ve Said No","SONG_SHOULDVE_SAID_NO","ALBUM_TS",1,9,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
d5a2b74f-781c-4501-960f-f788c8dc7e30,"Mary’s Song (Oh My My My)","SONG_MARYS_SONG","ALBUM_TS",1,10,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
08f535c5-b651-4cc2-a8a8-349aa6060b16,"Our Song","SONG_OUR_SONG","ALBUM_TS",1,11,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
882a8c40-b184-446d-8510-88460a6a6f11,"Fearless","SONG_FEARLESS","ALBUM_FEARLESS",1,1,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
2a1c1246-f93b-4403-918d-18c3aac324d3,"Fifteen","SONG_FIFTEEN","ALBUM_FEARLESS",1,2,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
9086b742-358b-4f73-9a14-84cb1a9ce4ce,"Love Story","SONG_LOVE_STORY","ALBUM_FEARLESS",1,3,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
be8df2b2-7965-4855-9699-0251a570f18d,"Hey Stephen","SONG_HEY_STEPHEN","ALBUM_FEARLESS",1,4,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
c46a220b-32be-4094-b38c-78b84d76ec0a,"White Horse","SONG_WHITE_HORSE","ALBUM_FEARLESS",1,5,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
70ecebf2-6dc0-4cc8-8f6c-52f7de1fdeb0,"You Belong With Me","SONG_YOU_BELONG_WITH_ME","ALBUM_FEARLESS",1,6,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
ba53bb6e-27f9-4830-b2ea-0a14d46cb17f,"Breathe","SONG_BREATHE","ALBUM_FEARLESS",1,7,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}, {""artistId"": ""ARTIST_COLBIE_CAILLAT"", ""artistName"": ""Colbie Caillat"", ""role"": ""Featured""}]","feat. Colbie Caillat"
b3863134-0129-4b46-89b4-cb39a99f7f54,"Tell Me Why","SONG_TELL_ME_WHY","ALBUM_FEARLESS",1,8,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
20f265dc-26b1-4ec0-9788-85acb17d7f90,"You’re Not Sorry","SONG_YOURE_NOT_SORRY","ALBUM_FEARLESS",1,9,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
b8a53072-515b-4d87-ba7e-f82967dc8555,"The Way I Loved You","SONG_THE_WAY_I_LOVED_YOU","ALBUM_FEARLESS",1,10,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
0bc0ebeb-ff98-4be1-a2c5-4b47893e9ffa,"Forever & Always","SONG_FOREVER_AND_ALWAYS","ALBUM_FEARLESS",1,11,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
26290d76-ba05-4f65-acc8-6d08615f0489,"The Best Day","SONG_THE_BEST_DAY","ALBUM_FEARLESS",1,12,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
ea4faef3-2a6d-4325-ac21-b74398f228fe,"Change","SONG_CHANGE","ALBUM_FEARLESS",1,13,"Original","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
36309ed2-e0fb-42b3-9722-66487384d68d,"Tim McGraw","SONG_TIM_MCGRAW","ALBUM_K_TS",1,1,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
2136db29-600b-4f8c-9ffd-60884f3de95f,"Picture to Burn","SONG_PICTURE_TO_BURN","ALBUM_K_TS",1,2,"Karaoke","[{""artistId"": ""ARTIST_TS"", ""artistName"": ""Taylor Swift"", ""role"": ""Primary""}]",
